                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      6.0000000000000000E+000      1.0000000000000000E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                                     mass                                core_mass                            photosphere_r                                 lambda_g                                 lambda_b                                 lambda_h                              core_radius                             model_number                                      age                              period_days                        binary_separation                             eccentricity                                  v_orb_1                                  v_orb_2                   rl_relative_overflow_1                   rl_relative_overflow_2                                     edot                               edot_tidal                              star_1_mass                              star_2_mass                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                                    J_orb                                 J_spin_1                                  J_total                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot 
                                       1                  1.1340230290662867E+003                  5.9999999961368289E+000                 -1.1467677905146612E+001                  3.0546218740408908E+000                                     1080                  1.7359204729654520E+000                  2.8668515745411893E-001                  7.8195632746691501E-008                  9.9999999997736877E-001                  9.9999999992631405E-001                  2.8668515745411893E-001                  7.8195632746691501E-008                  9.9999999997736877E-001                  9.9999999992631405E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2323316388941844E+033                  3.1578250560458024E+033                  3.5284346462340472E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.0430556576441231E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1846941654115262E+000                 -2.8558392319544275E+001                 -9.8999999999999986E+001                  3.1846941654115257E+000                  4.3883477354457723E+000                  1.4882111666765561E+003                  3.1726645589085734E+000                  3.3289564501536867E-001                  4.5502493134864057E+000                  3.5501713384118535E+004                  4.6795320105059791E-006                  1.0015828276716002E-002                  7.5256881358020360E+000                  1.4801413531821543E+000                  1.7161605489918212E+001                  5.9397597163407612E-001                  8.7834309110955844E-001                  7.5668610476282927E-001                  2.4229010992714617E-001                  3.2566299488535001E-006                  4.3134732565228574E-004                  1.7208053054058300E-004                  4.6802233045694703E-004                  4.5414293331984181E+000                  1.4524245428263582E+000                  2.0195459008107184E+000                  3.1539386464834100E+000                 -2.8558392319544275E+001                  6.8880347457866353E-009                                        0                                        0                  5.9999999961368289E+000                  4.6917379617806588E-007                  2.1522645130561471E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  2.7968165821159077E-003                  1.0000000000000000E+000                  1.1340230290662867E+003                  1.5000000008278079E+007                  6.1672321789434890E+005                  1.0000000000000001E-001                  1.1891150517525277E+000                  8.9183628824017624E-001                 -9.9998905570557106E-001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9999999961368289E+000                  8.0000000000000000E+000                 -1.1467677905146612E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1467677905146612E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  6.0611946718466617E+055                  9.4963494765511414E+049                  6.0612041681961386E+055                 -6.2313119468427975E+035                  0.0000000000000000E+000                 -7.4217163194839265E+018                 -6.2313119468427975E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  8.4389457730996783E+003                  5.9999999743109278E+000                 -1.1545792929875125E+001                  3.3713468582313899E+000                                      996                  1.7701859745618937E+000                  2.9319762822421036E-001                  7.8195633301803014E-008                  9.9999999997736877E-001                  9.9999999992931210E-001                  2.9319762822421036E-001                  7.8195633301803014E-008                  9.9999999997736877E-001                  9.9999999992931210E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2323316388942002E+033                  3.1725327601102173E+033                  3.5961713506004127E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.9189549830592475E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1796224517496134E+000                 -2.8590593552830470E+001                 -1.2643259817887209E+001                  3.1796224517496134E+000                  4.3853667832346899E+000                  1.4115223968519799E+003                  3.1496877735577220E+000                  3.2736915676210721E-001                  4.5613022884131169E+000                  3.6416842546843538E+004                  4.7911789645292646E-006                  1.0054395662646287E-002                  7.5253264844250696E+000                  1.4717749070501658E+000                  1.7153015312281589E+001                  5.9400104345068683E-001                  8.7831409845148267E-001                  7.5662812904397481E-001                  2.4234902585357906E-001                  3.3149635360971990E-006                  4.2413377824419412E-004                  1.7208053054058300E-004                  4.6802233045694692E-004                  4.5413153025171678E+000                  1.4525399182333039E+000                  1.9711219073165300E+000                  3.1518842005447767E+000                 -2.8590593552830470E+001                  3.2584559047321190E-009                                        0                                        0                  5.9999999743109278E+000                  4.6917379780204482E-007                  2.1250500186050814E+000                  6.9506339151248853E-001                  1.4160061582820005E+000                  4.2935564334193783E+000                  2.8148340870518033E-003                  5.0000000000000000E+000                  8.4389457730996783E+003                  1.5000000055052318E+007                  6.1672321885593806E+005                  1.0000000000000001E-001                  1.1891150517524098E+000                  8.9183628499589962E-001                 -9.9998919409165421E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9999999743109278E+000                  8.0000000000000000E+000                 -1.1545792929875125E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1545792929875125E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  6.0611946592481159E+055                  9.4963491760594014E+049                  6.0612041555972923E+055                 -5.2052762200847966E+035                  0.0000000000000000E+000                 -7.4217162272014326E+018                 -5.2055241988852482E+035                  2.4797880045132070E+031                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  2.9437743319219066E+004                  5.9999999250783755E+000                 -1.1680087084085185E+001                  3.7672530884695141E+000                                      991                  1.8424055836680042E+000                  3.0454837552113034E-001                  7.8195633745892223E-008                  9.9999999997736877E-001                  9.9999999992998967E-001                  3.0454837552113034E-001                  7.8195633745892223E-008                  9.9999999997736877E-001                  9.9999999992998967E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2140067246991301E+033                  3.1431173519814256E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1447432565727400E+000                 -2.8770859248564090E+001                 -1.2166138563167546E+001                  3.1447432565727405E+000                  4.3778103837381952E+000                  1.2722357496584048E+003                  3.1045675950301970E+000                  3.1992186649133530E-001                  4.5761968653910898E+000                  3.7687459726633766E+004                  4.9473971955661377E-006                  1.0103099192307081E-002                  7.5225490387499372E+000                  1.4545754260897141E+000                  1.7133180553697677E+001                  5.9406717584303903E-001                  8.7823766007257775E-001                  7.5647524943162492E-001                  2.4250410973314282E-001                  3.4576155374651707E-006                  4.0662133422054547E-004                  1.7208053054058306E-004                  4.6802233045694708E-004                  4.5410037276998407E+000                  1.4528548145853750E+000                  1.9324318164976722E+000                  3.1172551755918581E+000                 -2.8770859248564090E+001                  2.2037703279863315E-009                                        0                                        0                  5.9999999250783755E+000                  4.6917379661680946E-007                  2.0889202813775083E+000                  7.1250059576930813E-001                  1.4493113852008392E+000                  4.3660893125945757E+000                  2.8522393138774469E-003                  1.0000000000000000E+001                  2.9437743319219066E+004                  1.5000000160560634E+007                  6.1672322102498740E+005                  1.0000000000000001E-001                  1.1891150517521460E+000                  8.9183627767780560E-001                 -9.9998937781187769E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9999999250783755E+000                  8.0000000000000000E+000                 -1.1680087084085185E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1680087084085185E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  6.0611946308296437E+055                  9.4963485011479345E+049                  6.0612041271781449E+055                 -3.8207596908851183E+035                  0.0000000000000000E+000                 -7.4217160166344090E+018                 -3.8209408844100787E+035                  1.8119352496031683E+031                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  8.1689471229178846E+004                  5.9999998328829838E+000                 -1.1774200456202076E+001                  4.1631593187076383E+000                                      985                  1.7854459363694086E+000                  2.9319763513526831E-001                  7.8195634856115248E-008                  9.9999999997560818E-001                  9.9999999992746103E-001                  2.9319763513526831E-001                  7.8195634856115248E-008                  9.9999999997560818E-001                  9.9999999992746103E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1637625898394948E+033                  3.0989511154641293E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1042296502142044E+000                 -2.9038975592205542E+001                 -1.2342229822223228E+001                  3.1042296502142048E+000                  4.3727635662809181E+000                  1.2237299745646521E+003                  3.0876855979615692E+000                  3.2157450287157335E-001                  4.5728915859572892E+000                  3.7401720974434254E+004                  4.9039272544391338E-006                  1.0064002852849366E-002                  7.5181301534081246E+000                  1.4404500378758938E+000                  1.7114527648649410E+001                  5.9423147230134266E-001                  8.7804780546100469E-001                  7.5609553452363576E-001                  2.4288845898463010E-001                  3.7708161167828020E-006                  3.6982775090214551E-004                  1.7208053054058300E-004                  4.6802233045694730E-004                  4.5403031153294791E+000                  1.4535613935536473E+000                  1.8939363398476716E+000                  3.0766093784226745E+000                 -2.9038975592205542E+001                  1.8049351675348011E-009                                        0                                        0                  5.9999998328829838E+000                  4.6917379606887031E-007                  2.0968844682950927E+000                  7.1701615220386872E-001                  1.4584741866899322E+000                  4.3928978317440226E+000                  2.8833304878009372E-003                  1.5000000000000000E+001                  8.1689471229178846E+004                  1.5000000358140880E+007                  6.1672322508685966E+005                  1.0000000000000001E-001                  1.1891150517516520E+000                  8.9183626397356897E-001                 -9.9998933731390960E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9999998328829838E+000                  8.0000000000000000E+000                 -1.1774200456202076E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1774200456202076E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  6.0611945776117573E+055                  9.4963472432495571E+049                  6.0612040739590008E+055                 -3.0763550708998019E+035                  0.0000000000000000E+000                 -7.4217156277125120E+018                 -3.0765002319520849E+035                  1.4516105228317828E+031                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  2.1170849082208995E+005                  5.9999996155190898E+000                 -1.1778123935253793E+001                  4.5590655489457621E+000                                      979                  1.7615581091391106E+000                  2.9319764575703211E-001                  7.8195637742695112E-008                  9.9999999997472777E-001                  9.9999999992400168E-001                  2.9319764575703211E-001                  7.8195637742695112E-008                  9.9999999997472777E-001                  9.9999999992400168E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1319429552927858E+033                  3.0498199462374038E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0983854642409168E+000                 -2.9266490795686561E+001                 -9.8999999999999986E+001                  3.0983854642409168E+000                  4.3709273765086163E+000                  1.2327689440726558E+003                  3.0908816850973175E+000                  3.2684492598405124E-001                  4.5623507239990087E+000                  3.6504863091923886E+004                  4.7809110874425022E-006                  9.9938537195722876E-003                  7.5143179252128300E+000                  1.4294728778975296E+000                  1.7099435059561113E+001                  5.9463376146225022E-001                  8.7758332526719163E-001                  7.5516656810174509E-001                  2.4382573061563492E-001                  4.3621675489024619E-006                  3.0402972136153066E-004                  1.7208053054058300E-004                  4.6802233045694665E-004                  4.5386232473902473E+000                  1.4552520507709883E+000                  1.8659751109257383E+000                  3.0721788213808510E+000                 -2.9266490795686561E+001                  9.2247963120654540E-010                                        0                                        0                  5.9999996155190898E+000                  4.6917379639144068E-007                  2.1224864480680816E+000                  7.1493026735530096E-001                  1.4541872484386509E+000                  4.3791522950981916E+000                  2.9077259853466418E-003                  2.0000000000000000E+001                  2.1170849082208995E+005                  1.5000000823964460E+007                  6.1672323466329998E+005                  1.0000000000000001E-001                  1.1891150517504954E+000                  8.9183623166386683E-001                 -9.9998920712756822E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9999996155190898E+000                  8.0000000000000000E+000                 -1.1778123935253793E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1778123935253793E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  6.0611944521429007E+055                  9.4963442943298352E+049                  6.0612039484871955E+055                 -3.0486889533674666E+035                  0.0000000000000000E+000                 -7.4217147305109955E+018                 -3.0488319476014956E+035                  1.4299423402905090E+031                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  5.3523741765552247E+005                  5.9999990860842276E+000                 -1.1790314174407639E+001                  4.9549717791838859E+000                                      976                  1.7537875999970201E+000                  2.8994143628288216E-001                  7.8195644515055562E-008                  9.9999999997384748E-001                  9.9999999991999033E-001                  2.8994143628288216E-001                  7.8195644515055562E-008                  9.9999999997384748E-001                  9.9999999991999033E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1319429552927674E+033                  3.0129229992650566E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0959176430471445E+000                 -2.9524879294672971E+001                 -1.2041199826559247E+001                  3.0959176430471449E+000                  4.3683134499493965E+000                  1.2368357322665518E+003                  3.0923120235519534E+000                  3.3278794832980890E-001                  4.5504646409857159E+000                  3.5519319849096260E+004                  4.6457061494832302E-006                  9.9151809773277890E-003                  7.5099281905650495E+000                  1.4157620175772105E+000                  1.7080613020735331E+001                  5.9564239291235677E-001                  8.7642078219371145E-001                  7.5284147558401349E-001                  2.4616306931744567E-001                  5.2272988975107893E-006                  2.0706086191369410E-004                  1.7208053054058316E-004                  4.6802233045694735E-004                  4.5344850674989470E+000                  1.4594052102410977E+000                  1.8333786855551399E+000                  3.0715177349634089E+000                 -2.9524879294672971E+001                  4.7702483234921660E-010                                        0                                        0                  5.9999990860842276E+000                  4.6917379562610051E-007                  2.1517308589882584E+000                  7.1330081905445164E-001                  1.4509436234968465E+000                  4.3693447926580848E+000                  2.9384869353676285E-003                  2.5000000000000000E+001                  5.3523741765552247E+005                  1.5000001958573777E+007                  6.1672325798868807E+005                  1.0000000000000001E-001                  1.1891150517476974E+000                  8.9183615296689789E-001                 -9.9998905841952468E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9999990860842276E+000                  8.0000000000000000E+000                 -1.1790314174407639E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1790314174407639E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  6.0611941465373454E+055                  9.4963371635374427E+049                  6.0612036428745089E+055                 -2.9643062357949836E+035                  0.0000000000000000E+000                 -7.4217125403215319E+018                 -2.9644442020640368E+035                  1.3796626905317792E+031                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  1.3402809168736895E+006                  5.9999978030522625E+000                 -1.1800416100853127E+001                  5.3508780094220105E+000                                      972                  1.7390479368844427E+000                  2.8668526224162050E-001                  7.8195661279423234E-008                  9.9999999997208677E-001                  9.9999999991533683E-001                  2.8668526224162050E-001                  7.8195661279423234E-008                  9.9999999997208677E-001                  9.9999999991533683E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1319429552927541E+033                  3.0129229992650261E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0967181502066912E+000                 -2.9714091074335080E+001                 -9.8999999999999986E+001                  3.0967181502066912E+000                  4.3658470893899120E+000                  1.2451547410848661E+003                  3.0952233265508582E+000                  3.3917632094823219E-001                  4.5376878028798950E+000                  3.4489571831424946E+004                  4.5042104352228754E-006                  9.8307708567702615E-003                  7.5064380105918342E+000                  1.4035584813483948E+000                  1.7063137463953399E+001                  5.9817114881046130E-001                  8.7352063639469135E-001                  7.4704118060107416E-001                  2.5197640555025402E-001                  6.1432251773900477E-006                  1.0387086037407494E-004                  1.7208053054058314E-004                  4.6802233045694735E-004                  4.5242293611960491E+000                  1.4696734152099589E+000                  1.8024088776256362E+000                  3.0740851357440242E+000                 -2.9714091074335080E+001                  2.4200186828939954E-010                                        0                                        0                  5.9999978030522625E+000                  4.6917379588475822E-007                  2.1836162669776682E+000                  7.1083454227916665E-001                  1.4460796502778799E+000                  4.3545603786742024E+000                  2.9661397523726924E-003                  3.0000000000000000E+001                  1.3402809168736895E+006                  1.5000004708183140E+007                  6.1672331451535504E+005                  1.0000000000000001E-001                  1.1891150517409792E+000                  8.9183596225278150E-001                 -9.9998889628224608E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9999978030522625E+000                  8.0000000000000000E+000                 -1.1800416100853127E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1800416100853127E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  6.0611934059327072E+055                  9.4963200350930150E+049                  6.0612029022527423E+055                 -2.8961523988825600E+035                  0.0000000000000000E+000                 -7.4217072364824955E+018                 -2.8962859230932479E+035                  1.3352421068795817E+031                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  3.3434867568482379E+006                  5.9999946310387786E+000                 -1.1798444645506883E+001                  5.7467842396601343E+000                                      969                  1.7125896171784392E+000                  2.8342455507605280E-001                  7.8195702690742053E-008                  9.9999999997032607E-001                  9.9999999991039878E-001                  2.8342455507605280E-001                  7.8195702690742053E-008                  9.9999999997032607E-001                  9.9999999991039878E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1319429552927556E+033                  2.9710863870564038E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1035200887148346E+000                 -2.9700680548866746E+001                 -9.8999999999999986E+001                  3.1035200887148346E+000                  4.3640895442263936E+000                  1.2670204502745610E+003                  3.1027836246464400E+000                  3.4647156032306042E-001                  4.5230970945321021E+000                  3.3350096471368677E+004                  4.3481767516630618E-006                  9.7366593649224602E-003                  7.5056674150016782E+000                  1.3966156859573378E+000                  1.7050886889063090E+001                  6.0469530266169047E-001                  8.6613709300910091E-001                  7.3227410008520666E-001                  2.6675156583936022E-001                  6.7276883182284754E-006                  4.0162101002378647E-005                  1.7208053054058308E-004                  4.6802233045694698E-004                  4.4984938174928457E+000                  1.4954067705031031E+000                  1.7752910887853290E+000                  3.0826291029473389E+000                 -2.9700680548866746E+001                  1.2596145066740803E-010                                        0                                        0                  5.9999946310387786E+000                  4.6917379631475693E-007                  2.2206062627853047E+000                  7.0599726571992405E-001                  1.4366304623692008E+000                  4.3261492175256819E+000                  2.9819878851677830E-003                  3.5000000000000000E+001                  3.3434867568482379E+006                  1.5000011505981592E+007                  6.1672345426491182E+005                  1.0000000000000001E-001                  1.1891150517245643E+000                  8.9183549075434831E-001                 -9.9998870818876084E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9999946310387786E+000                  8.0000000000000000E+000                 -1.1798444645506883E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1798444645506883E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  6.0611915749495576E+055                  9.4962781547042090E+049                  6.0612010712277124E+055                 -2.9093321063303175E+035                  0.0000000000000000E+000                 -7.4216941684184187E+018                 -2.9094646548330988E+035                  1.3254850278127565E+031                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  7.9937442940674713E+006                  5.9999851749625082E+000                 -1.1484871725764803E+001                  6.0560281206461912E+000                                      967                  1.6450610981240179E+000                  2.7155762977922471E-001                  7.8195825814475484E-008                  9.9999999996856548E-001                  9.9999999990268573E-001                  2.7155762977922471E-001                  7.8195825814475484E-008                  9.9999999996856548E-001                  9.9999999990268573E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1637625898394653E+033                  2.9316922266248701E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1220565453784235E+000                 -2.9379845047121815E+001                 -1.2643259817887209E+001                  3.1220565453784235E+000                  4.3623849288520944E+000                  1.3225819032196480E+003                  3.1214225759926291E+000                  3.5920026674475197E-001                  4.4976389972339428E+000                  3.1451328682723240E+004                  4.0924175480815266E-006                  9.5844554612874323E-003                  7.5087093663914253E+000                  1.3945186392160462E+000                  1.7040458499521197E+001                  6.2138749182381836E-001                  8.4794208827456918E-001                  6.9588411171814557E-001                  3.0314334350761413E-001                  6.9226670257211502E-006                  2.6614096583775499E-005                  1.7208053054058319E-004                  4.6802233045694741E-004                  4.4368788194996576E+000                  1.5569979655148110E+000                  1.7367211166939234E+000                  3.1037945647797902E+000                 -2.9379845047121815E+001                  9.4416140788568717E-011                                        0                                        0                  5.9999851749625082E+000                  4.6917379563080355E-007                  2.2866530073870597E+000                  6.9492215510597188E-001                  1.4151327591475502E+000                  4.2625927667285479E+000                  2.9867913872185150E-003                  4.0000000000000000E+001                  7.9937442940674713E+006                  1.5000031770862231E+007                  6.1672387087113678E+005                  1.0000000000000001E-001                  1.1891150516765714E+000                  8.9183408517302587E-001                 -9.9998837234370519E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9999851749625082E+000                  8.0000000000000000E+000                 -1.1484871725764803E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1484871725764803E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  6.0611861166035414E+055                  9.4961553774393095E+049                  6.0611956127589191E+055                 -5.9891780057213170E+035                  0.0000000000000000E+000                 -7.4216587443949619E+018                 -5.9894451491348204E+035                  2.6714341350345023E+031                  0.0000000000000000E+000                  0.0000000000000000E+000 
